tool_id,g1,g2,g3,g4,g5,description,scope,returns,inputs
token.narrative_weekly_performance,token,price,narrative_weekly_performance,Weekly Basket Returns,Dune prices.usd,Tracks weekly price returns for predefined token narratives like real yield or L2.,protocol:prices.usd,"[""week:string"",""symbol:string"",""price_initial:number"",""price_end:number"",""return_pct:number""]","[{""key"": ""narrative"", ""label"": ""Narrative"", ""type"": ""text"", ""required"": true, ""default"": ""real_yield""}, {""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": ""ethereum""}]"
token.wallet_volume_leaderboard,token,wallet,wallet_volume_leaderboard,Top Wallet Volumes,Dune dex.trades + prices,"Ranks wallets by daily volume, trades, buys/sells, and tokens traded.",generic,"[""wallet:string"",""total_volume_usd:number"",""daily_trades:number"",""daily_buys:number"",""daily_sells:number""]","[{""key"": ""protocol"", ""label"": ""Protocol"", ""type"": ""protocol"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""100""}]"
price.price_moving_averages,price,technical,price_moving_averages,Moving Averages,prices.usd windows,Computes daily prices with rolling moving averages.,generic,"[""day:string"",""price:number"",""ma_30:number"",""ma_90:number"",""ma_365:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}]"
price.token_volatility_series,price,volatility,token_volatility_series,Volatility Series,daily returns stddev,Calculates annualized volatility from daily log returns.,generic,"[""day:string"",""volatility:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""180""}]"
price.mayer_multiple,price,technicals,mayer_multiple,Mayer Multiple,prices.usd window functions,Calculates Mayer Multiple as price over long-term moving average.,generic,"[""day:string"",""price:number"",""ma_short:number"",""ma_long:number"",""multiple:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""ma_short"", ""label"": ""Short MA Periods"", ""type"": ""number"", ""required"": false, ""default"": ""30""}, {""key"": ""ma_long"", ""label"": ""Long MA Periods"", ""type"": ""number"", ""required"": false, ""default"": ""200""}]"
price.stablecoin_depeg_metrics,price,stablecoin,stablecoin_depeg_metrics,Stablecoin Depeg Metrics,prices.usd multi-stable analysis,Measures stablecoin deviation from peg and volatility.,generic,"[""hs:string"",""symbol:string"",""mean_price:number"",""deviation:number"",""std:number""]","[{""key"": ""stablecoins"", ""label"": ""Stablecoin Symbols"", ""type"": ""text"", ""required"": true, ""default"": ""USDC,USDT,DAI""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}]"
price.impermanent_loss_estimator,price,lp,impermanent_loss_estimator,Impermanent Loss Estimator,prices.usd price ratio formula,Estimates impermanent loss for LP position using price changes.,generic,"[""dt:string"",""price:number"",""il_percentage:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""start_dt"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}]"
price.stable_risk_score,price,stablecoin,stable_risk_score,Stable Risk Score,prices.usd scoring model,Computes composite risk score for stablecoins using depeg and volatility.,generic,"[""token:string"",""day:string"",""med_dev_bps:number"",""vol_d:number"",""risk_score:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}]"
price.asset_price_correlation,price,correlation,asset_price_correlation,Price Correlation Matrix,Dune Prices USD,Computes daily returns and correlation across multiple assets.,generic,"[""date:string"",""symbol:string"",""price:number"",""daily_return:number"",""correlation:number""]","[{""key"": ""symbols"", ""label"": ""\""Token Symbols\"""", ""type"": ""text"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}]"
price.stablecoin_peg_monitor,price,stablecoin,stablecoin_peg_monitor,Peg Deviation Tracker,Dune Prices USD,Tracks peg deviation and volatility for stablecoins over time.,generic,"[""hour:string"",""symbol:string"",""peg_diff:number"",""volatility:number""]","[{""key"": ""symbols"", ""label"": ""\""Stablecoins\"""", ""type"": ""text"", ""required"": true, ""default"": ""\""USDC,USDT,DAI,FRAX\""""}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""\""hour\""""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}]"
nft.inscription_metadata_extractor,nft,inscriptions,inscription_metadata_extractor,Inscription Data,Data: Protocol Parser,Parses inscription metadata from transaction input data.,generic,"[""decode_data:string"",""tick:string"",""id:string"",""creator:string"",""owner:string""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
identity.mutual_transfer_clusters,identity,wallet,mutual_transfer_clusters,Mutual Transfer Pairs,Ethereum Transactions,Identifies wallet pairs linked by mutual ETH transfers in specified period.,generic,"[""address_a:string"",""address_b:string""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}]"
price.dex_price_deviation,price,oracle,dex_price_deviation,DEX vs Oracle Errors,Prices USD + DEX Trades,Detects deviations between DEX trade prices and oracle prices with stddev scoring.,generic,"[""timestamp:string"",""blockchain:string"",""error:number"",""stddev:number"",""is_outlier:boolean""]","[{""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""threshold_usd"", ""label"": ""Min USD Threshold"", ""type"": ""threshold_usd"", ""required"": false, ""default"": ""0.01""}]"
price.volatility_calc,price,token,volatility_calc,Token Volatility,prices.usd stddev,Calculates rolling volatility from daily returns.,generic,"[""day:string"",""volatility_30d:number"",""volatility_90d:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""90""}]"
price.peg_deviation,price,stablecoin,peg_deviation,Stable Peg Deviation,prices.usd depeg,Measures deviation from $1 peg for stables.,generic,"[""day:string"",""depeg_pct:number"",""volatility:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": ""USDC""}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}]"
price.stablecoin_peg_deviations,price,stablecoin,stablecoin_peg_deviations,Peg Breaks,Multi-stable analysis,Identifies stablecoin peg deviations exceeding threshold.,generic,"[""trade_dt:string"",""symbol:string"",""max_diff_cents:number"",""min_over_thresh:number""]","[{""key"": ""cents_threshold"", ""label"": ""\""Deviation threshold (cents)\"""", ""type"": ""number"", ""required"": true, ""default"": null}]"
price.bollinger_band_levels,price,technical_analysis,bollinger_band_levels,Bollinger Bands,Price volatility bands,Computes upper/lower Bollinger bands from SMA and stddev.,generic,"[""day:string"",""close:number"",""sma30:number"",""upper_band:number"",""lower_band:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""90""}]"
defi.lst_premium_calculator,defi,lsts,lst_premium_calculator,LST Premiums,LST vs ETH ratio,Calculates premiums/discounts of LSTs relative to ETH.,generic,"[""time:string"",""premium:number""]","[{""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""week""}]"
price.rolling_price_correlation,price,correlation,rolling_price_correlation,Price Correlations,Multi-token rolling corr,Computes 30-day rolling correlations between token prices.,generic,"[""date:string"",""symbol:string"",""corr:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""30""}, {""key"": ""symbols"", ""label"": ""\""Token list\"""", ""type"": ""text"", ""required"": true, ""default"": null}]"
price.l2_price_index,price,index,l2_price_index,L2 Composite Index,Multi-L2 token index,Aggregates daily prices into L2 token performance index.,generic,"[""time:string"",""index_value:number""]","[{""key"": ""chains"", ""label"": ""\""L2 chains\"""", ""type"": ""text"", ""required"": false, ""default"": null}]"
price.halving_drawdown,price,btc,halving_drawdown,Post-Halving DD,BTC cycle drawdowns,Measures drawdown from local peaks post-BTC halvings.,generic,"[""halving_date:string"",""drawdown_pct:number"",""days_since:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": null}]"
price.token_volatility_calculator,price,volatility,token_volatility_calculator,Annualized Volatility,prices.usd rolling stddev,Computes rolling annualized volatility from log returns.,generic,"[""day:string"",""volatility_30d:number"",""volatility_90d:number"",""volatility_200d:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""365""}]"
price.mayer_multiple_indicator,price,technicals,mayer_multiple_indicator,Mayer Multiple,prices.usd moving averages,Calculates Mayer Multiple as price over 200-day MA.,generic,"[""day:string"",""mayer_multiple:number"",""ma_200:number"",""ma_30:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""365""}]"
token.token_dca_performance,token,price,token_dca_performance,DCA Return,prices.usd,Calculates dollar-cost averaging returns over periodic buys.,generic,"[""dt:string"",""avg_price:number"",""current_price:number"",""dca_return:number""]","[{""key"": ""contract_address"", ""label"": ""Contract Address"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": true, ""default"": ""7""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}]"
token.price_performance_multi_period,token,price,price_performance_multi_period,Multi-Period Returns,prices.usd,Computes token price performance across multiple lookback periods.,generic,"[""symbol:string"",""init_30d:number"",""init_6m:number"",""current:number"",""perf_30d:number"",""perf_6m:number""]","[{""key"": ""list_symbols"", ""label"": ""Symbols List"", ""type"": ""text"", ""required"": true, ""default"": null}]"
token.stablecoin_peg_stats,token,price,stablecoin_peg_stats,Peg Deviation Stats,prices.usd,"Computes min, stddev for multiple stablecoins over time.",generic,"[""usdn_low:number"",""ustc_low:number"",""frax_low:number"",""usdn_sd:number"",""ustc_sd:number"",""frax_sd:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
mev.mev_bundle_detector,mev,bundle,mev_bundle_detector,MEV Bundles,Ethereum Transactions,Detects potential MEV bundles via close-index transactions with from-to links.,generic,"[""block_time:string"",""block_number:number"",""hash:string""]","[{""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": ""ethereum""}]"
token.token_price_ratio,token,price,token_price_ratio,Token Ratio,prices.usd,Computes price ratio between two tokens over time.,generic,"[""time:string"",""ratio:number""]","[{""key"": ""symbol_a"", ""label"": ""Token A"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""symbol_b"", ""label"": ""Token B"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": true, ""default"": ""day""}]"
token.narrative_monthly_returns,token,price,narrative_monthly_returns,Narrative Returns,prices.usd,"Calculates monthly returns for token groups like memes, AI.",generic,"[""symbol:string"",""month:string"",""return:number""]","[{""key"": ""symbols_list"", ""label"": ""Symbols List"", ""type"": ""text"", ""required"": true, ""default"": null}]"
token.sector_weekly_returns,token,price,sector_weekly_returns,Weekly Performance,Multi-token prices,Calculates weekly price changes for sector tokens.,generic,"[""week:string"",""symbol:string"",""price_initial:number"",""price:number"",""weekly_return:number""]","[{""key"": ""symbols"", ""label"": ""Token Symbols"", ""type"": ""text"", ""required"": true, ""default"": null}]"
infra.smart_account_holdings_usd,infra,wallet,smart_account_holdings_usd,Holdings Valuation,Balances x prices,Values smart account token holdings in USD.,protocol:base,"[""er""]",[]
price.stablecoin_depeg_runs,price,stablecoin,stablecoin_depeg_runs,Depeg Duration Runs,prices.usd LAG analysis,Detects consecutive depeg minutes exceeding threshold by chain.,generic,"[""day:string"",""minute:string"",""blockchain:string"",""run_duration:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": ""USDT""}, {""key"": ""threshold_pct"", ""label"": ""Depeg Threshold %"", ""type"": ""number"", ""required"": false, ""default"": ""5""}, {""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}]"
price.price_ma_indicators,price,technicals,price_ma_indicators,MA Momentum Signals,Windowed price lags,Computes lagged price and multiple moving averages for trend analysis.,generic,"[""day:string"",""price:number"",""prev_price:number"",""ma7:number"",""ma20:number"",""ma50:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""50""}]"
price.top_token_returns,price,performance,top_token_returns,Hourly Return Leaderboard,LAG percentage change,Ranks tokens by hourly returns over lookback period.,generic,"[""ts:string"",""symbol:string"",""r:number""]","[{""key"": ""symbols"", ""label"": ""Token Symbols"", ""type"": ""text"", ""required"": true, ""default"": ""BTC,ETH,SOL""}, {""key"": ""lookback_hours"", ""label"": ""Lookback Hours"", ""type"": ""number"", ""required"": false, ""default"": ""24""}, {""key"": ""top_n"", ""label"": ""Top N"", ""type"": ""top_n"", ""required"": false, ""default"": ""3""}]"
price.token_volatility_score,price,volatility,token_volatility_score,Volatility Metrics,prices.usd window functions,"Calculates daily returns, rolling volatility, and stddev.",generic,"[""day:string"",""daily_return:number"",""vol_14d:number"",""vol_30d:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": false, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""180""}]"
defi.stablecoin_peg_stability,defi,stablecoin,stablecoin_peg_stability,Stablecoin Peg Deviation,Rolling max deviation,Calculates 30-day rolling max absolute peg deviation for stables.,generic,"[""stablecoin:string"",""day:date"",""max_deviation:number"",""chain:string""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""30""}, {""key"": ""stables"", ""label"": ""Stablecoins"", ""type"": ""text"", ""required"": false, ""default"": null}]"
nft.inscription_daily_stats,nft,inscription,inscription_daily_stats,Ordinal Inscriptions,Cumulative fees volume,"Tracks daily inscriptions, cumulative count, trailing avg, fees USD.",generic,"[""day:date"",""inscriptions:number"",""cumulative:number"",""trailing_avg:number"",""fees_usd:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": null}]"
price.rolling_asset_beta,price,beta,rolling_asset_beta,Rolling Beta,Dune prices.usd,Computes rolling covariance-based beta between portfolio and market assets.,generic,"[""day:date"",""beta:number"",""port_ret:number"",""mkt_ret:number""]","[{""key"": ""portfolio_symbol"", ""label"": ""Portfolio Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": true, ""default"": null}]"
price.sharpe_sortino_ratios,price,risk,sharpe_sortino_ratios,Risk-Adjusted Returns,Dune prices.usd,Calculates Sharpe and Sortino ratios from monthly returns.,generic,"[""year:number"",""month:number"",""sharpe:number"",""sortino:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": true, ""default"": ""ethereum""}, {""key"": ""timerange"", ""label"": ""Time Range"", ""type"": ""text"", ""required"": false, ""default"": null}]"
price.price_correlation_rolling,price,correlation,price_correlation_rolling,Rolling Correlation,Dune prices.usd,Computes rolling correlation between two token prices.,generic,"[""date:date"",""corr:number""]","[{""key"": ""token1"", ""label"": ""Token 1"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""token2"", ""label"": ""Token 2"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""window"", ""label"": ""Window Size"", ""type"": ""number"", ""required"": true, ""default"": ""30""}]"
